prime,target,condition,thisN,thisTrialN,thisRepN,prResponse.keys,prResponse.rt,prResponse.duration,response.keys,response.rt,response.duration,prTrials.thisRepN,prTrials.thisTrialN,prTrials.thisN,prTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions2Disp.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions2.started,text.started,key_resp_3.started,instructions2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions3.started,text_2.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions4.started,text_3.started,key_resp_5.started,instructions4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,instructions5.started,text_4.started,key_resp_6.started,instructions5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instructions6.started,text_5.started,key_resp_7.started,instructions6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions7.started,text_6.started,key_resp_8.started,instructions7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions8.started,text_7.started,key_resp_9.started,instructions8.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,prFixation.started,prFixationDisp.started,prFixationDisp.stopped,prFixation.stopped,prPrime.started,prPrimeDisp.started,prPrimeDisp.stopped,prPrime.stopped,prTarget.started,prTargetDisp.started,prResponse.started,prTarget.stopped,prTrials.prResponse.keys,prTrials.prResponse.rt,prTrials.prResponse.duration,ready.started,readyDisp.started,key_resp.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.started,fixationDisp.started,fixationDisp.stopped,fixation.stopped,expPrime.started,primeDisp.started,primeDisp.stopped,expPrime.stopped,expTarget.started,targetDisp.started,response.started,expTarget.stopped,trials.response.keys,trials.response.rt,trials.response.duration,complete.started,completeMessage.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
attend,ageef ,nonword,2,2,0,,,,f,0.6640836668666452,None,,,,,0,2,2,48,48.83034908398986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.82488674996421,49.321876500034705,50.31280858395621,50.30725354189053,50.309426499996334,50.32171049993485,50.812730833888054,50.80735958390869,50.809239541878924,50.821863249875605,50.821863249875605,51.491876624990255,f,0.6640836668666452,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
recognize,lim ,nonword,3,3,0,,,,f,0.6218328750692308,None,,,,,0,3,3,25,51.49821591703221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.49211583402939,51.988554583862424,52.98087266692892,52.974460874916986,52.97747516701929,52.98751166695729,53.47953083389439,53.47437204187736,53.47611933387816,53.488379874965176,53.488379874965176,54.114023208850995,f,0.6218328750692308,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
nutrition,plug ,B,4,4,0,,,,j,0.8342902078293264,None,,,,,0,4,4,37,54.120797958923504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.11425495892763,54.610856249928474,55.60423366702162,55.59711837489158,55.59944058395922,55.610393666895106,56.10498254187405,56.09665974997915,56.09863725001924,56.110905417008325,56.110905417008325,56.94740012497641,j,0.8342902078293264,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
languish,wither ,B,5,5,0,,,,j,0.6421549168881029,None,,,,,0,5,5,28,56.95407891692594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94763724994846,57.44438162492588,58.43751841690391,58.4301140839234,58.432383166858926,58.44357041688636,58.93834029184654,58.929494791897014,58.93154054204933,58.94420862500556,58.94420862500556,59.591153249843046,j,0.6421549168881029,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
ruins,hegreef ,nonword,6,6,0,,,,f,0.5927145420573652,None,,,,,0,6,6,45,59.59739254205488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.59137345897034,60.088405000045896,61.07960645901039,61.073836209019646,61.07623141701333,61.087671166984364,61.57936774985865,61.57391449995339,61.57598633388989,61.588476334000006,61.588476334000006,62.19127262500115,f,0.5927145420573652,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
rider,mail ,B,7,7,0,,,,j,0.676942375022918,None,,,,,0,7,7,41,62.19733029184863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.191505499882624,62.688443541992456,63.6793977918569,63.67383895884268,63.676002291962504,63.68835691688582,64.17926191701554,64.1738019590266,64.17573204194196,64.18825091701001,64.18825091701001,64.87442258396186,j,0.676942375022918,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
benefit,ummifent ,nonword,8,8,0,,,,f,0.6791773331351578,None,,,,,0,8,8,21,64.87982304184698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.87469700002111,65.3717377090361,66.36344208405353,66.3577324168291,66.36004649987444,66.37077325000428,66.86350720888004,66.85761475004256,66.85980487498455,66.87067016703077,66.87067016703077,67.55820716684684,f,0.6791773331351578,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
telecommunications,sliss ,nonword,9,9,0,,,,f,0.7858277501072735,None,,,,,0,9,9,52,67.56214179191738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.55834045889787,68.05431537493132,69.04743483383209,69.04104287503287,69.04397624987178,69.05403424985707,69.54644095897675,69.54086154187098,69.54290595883504,69.55405345885083,69.55405345885083,70.34128279192373,f,0.7858277501072735,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
physiology,scriping ,nonword,10,10,0,,,,f,0.8083176251966506,None,,,,,0,10,10,55,70.34497183398344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.34152670903131,70.83832804183476,71.8297832920216,71.82412241701968,71.82629654183984,71.83825212484226,72.32855204190128,72.32338591688313,72.32514054188505,72.33815037505701,72.33815037505701,73.15773366694339,f,0.8083176251966506,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
spoiled,pampered ,A,11,11,0,,,,j,0.6162026671227068,None,,,,,0,11,11,4,73.16417195904069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15798387490213,73.65483966702595,74.64612695900723,74.64038695883937,74.64262066688389,74.65436470904388,75.1463228338398,75.14035662496462,75.1426644588355,75.15398062486202,75.15398062486202,75.7751023338642,j,0.6162026671227068,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
butterfly,author ,A,12,12,0,,,,f,0.7287961670663208,None,,,,,0,12,12,13,75.78148945886642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7753635419067,76.27147554187104,77.26331449998543,77.25745254196227,77.25987987499684,77.27053479198366,77.76259704190306,77.75702437502332,77.75910941697657,77.77116370899603,77.77116370899603,78.5080117918551,f,0.7287961670663208,None,,,sample-data,001,2025-09-08_10h40.30.086,English1-LDT,2024.2.4,None,2025-09-08 10h40.47.729002 +0800,
